"strech_id","strech_name"
1,"Mexico-chalco"
2,"Chalco-mexico"
3,"Mexico-san martin texmelucan"
4,"san martin texmelucan-puebla"
5,"Mexico-circuito exterior mexiquense"
6,"LIBRAMIENTO AMECAMECA-NEPANTLA"
7,"SAN MARTÍN TEXMELUCAN-TLAXCALA"
8,"JANTETELCO - EL HIGUERON"
9,"Cuautla-chinameca"
10,"Jantetelco-cuautla"
11,"PUEBLA-ACATZINGO"
12,"PUEBLA-Amozoc"
13,"Puebla-ent. Amozoc III"
14,"CUAPIAXTLA-CUACNOPALAN"
15,"el seco-cuacnopalan"
16,"Cuapiaxtla-el seco"
17,"ACATZINGO-CD. MENDOZA"
18,"ACATZINGO-esperanza"
19,"Esperanza-cd mendoza"
20,"CORDOBA-la tinaja"
21,"Cuitlahuac-la tinaja"
22,"Cordoba-cuitlahuac"
23,"la tinaja-veracruz"
24,"la tinaja-paso del toro"
25,"paso del toro-veracruz"
26,"Cuacnopalan-tehuacán"
27,"Tehuacán-miahuatlán"
28,"Miahuatlán-nochixtlán"
29,"Miahuatlán-coixtlahuaca"
30,"Nochixtlán-oaxaca"
31,"Nochixtlán-huitzo"
32,"Huitzo-oaxaca"
33,"BARRANCA LARGA-VENTANILLA"
34,"BARRANCA LARGA-VENTANILLA"
35,"la tinaja-isla"
36,"la tinaja-cosamaloapan"
37,"Cosamaloapan-isla"
38,"Isla-cosoleacaque"
39,"Isla-acayucan"
40,"Acayucan-cosoleacaque"
41,"TÚNEL COATZACOALCOS"
42,"MITLA-TEHUANTEPEC II"
43,"Mitla-lachixitla"
44,"LACHIXILA-ENT. TEHUANTEPEC II"
45,"salina cruz-tehuantepec"
46,"Tehuantepec-la ventosa"
47,"Tehuantepec-ixtepec"
48,"Ixtepec-la ventosa"
49,"PUENTE NACIONAL ALVARADO"
50,"PUENTE NACIONAL TLACOTALPAN"
51,"PUENTE NACIONAL CARACOL"
52,"PUENTE NACIONAL PAPALOAPAN"
53,"PUENTA NACIONAL DOVALI"
54,"Amozoc-ent. Ixtenco"
55,"ent. Ixtenco-ent oriental"
56,"ent. Ixtenco-cuapiaxtla"
57,"ent. Cuapiaxtla-ent orientel"
58,"ent. Oriental-perote II"
59,"ent. Oriental-ent. Cantona"
60,"ent. Cantona-ent perote II"
61,"libramiento de perote"
62,"ent. Ixtenco- ent. Audi"
63,"AMOZOC-PEROTE (AUDI CUAPIAXTLA A1 Y A2)"
64,"AMOZOC-PEROTE (AUDI CUAPIAXTLA)"
65,"PEROTE-BANDERILLA"
66,"LIBRAMIENTO XALAPA"
67,"CARDEL-VERACRUZ"
68,"SAN JULIÁN-VERACRUZ"
69,"LIBRAMIENTO PLAN DEL RIO"
70,"PUENTE NACIONAL NAUTLA"
71,"las chopas-nuevo sacrificio"
72,"las chopas-las chopas II"
73,"las chopas II-nuevo sacrificio"
74,"nuevo sacrificio-raudales"
75,"nuevo sacrificio-malpasito"
76,"Malpasito-raudales"
77,"Raudales-ocozocuautla"
78,"TUXTLA GUTIERREZ-SAN CRISTOBAL DE LAS C"
79,"Arriaga-tierra y libertad"
80,"tierra y libertad-jiquipilas"
81,"Jiquipilas-montes azules"
82,"montes azules-ocozocoautla"
83,"AGUA DULCE-CARDENAS"
84,"agua dulce-magallanes"
85,"Magallanes-cardenas"
86,"loma de caballo-frontera"
87,"loma de caballo-nacajuca"
88,"Nacajuca-frontera"
89,"PUENTE NACIONAL GRIJALVA"
90,"PUENTE NACIONAL USUMACINTA"
91,"puente el zacatal"
92,"CHAMPOTON-CAMPECHE"
93,"Seybaplaya-champeche"
94,"Champoton-seybaplaya"
95,"CTO. EXT. MEXIQUENSE -T0 JOROBAS"
96,"T1 TULTEPEC Origen entronque Lechería-Texcoco"
1395,"T1 Tultepec Origen entronque Hank González"
97,"T2 CONMEX Origen entronque Hank González"
1393,"T2 CONMEX Origen entronque Lechería-Texcoco"
98,"CTO. EXT. MEXIQUENSE -T3 NABOR CARRILLO (P"
99,"CTO. EXT. MEXIQUENSE -T3 NABOR CARRILLO (B"
100,"CTO. EXT. MEXIQUENSE -T4 CHALCO"
101,"CTO. EXT. MEXIQUENSE A-1A - A-1B HUEHUETO"
102,"CTO. EXT. MEXIQUENSE   A-2 / A-5 HANK GLEZ."
103,"CTO. EXT. MEXIQUENSE  A-6, A-7 PERIFÉRICO"
104,"CTO. EXT. MEXIQUENSE  A-8 (PICHARDO)"
105,"CTO. EXT. MEXIQUENSE  A-9 CTM"
106,"T1 JALTENCO Lechería-Texcoco"
1394,"T1 JALTENCO Origen entronque Hank González"
107,"CTO. EXT. MEXIQUENSE  A-3 A PACHUCA"
108,"CTO. EXT. MEXIQUENSE  A-4 PACHUCA"
109,"CTO. EXT. MEXIQUENSE  A-21 - A-22 B. XOCHIAC"
110,"CTO. EXT. MEXIQUENSE  T-7 - TEXCOCO"
111,"CTO. EXT. MEXIQUENSE  A-27 SAN BUENA VENT"
112,"CTO. EXT. MEXIQUENSE A-28 SAN BUENA VENT"
113,"CTO. EXT. MEXIQUENSE  A-31 - A-32 ENT. TULTE"
114,"CTO. EXT. MEXIQUENSE A-34 - A-36 V. MEXIQUE"
115,"CTO. EXT. MEXIQUENSE  A-33 Y A-35 (AUXILIAR"
116,"CTO. EXT. MEXIQUENSE  T-5 TULTITLÁN"
117,"CTO. EXT. MEXIQUENSE  T6 CUAUTITLÁN-(SAN"
118,"CTO. EXT. MEXIQUENSE  AIFA T-5 D.S.I."
119,"CTO. EXT. MEXIQUENSE  AIFA A-35 D.S.I."
1396,"A-12 entronque santa inés"
120,"indios verdes-san cristobal ecatepec"
121,"Mexico-lecheria"
122,"MÉXICO-PACHUCA"
123,"indios verdez-tizayuca"
124,"MÉXICO-PACHUCA"
125,"ECATEPEC-PIRÁMIDES"
126,"Ecatepec-tepexpan"
127,"Tepexpan-san martín de las pirámides"
128,"PIRÁMIDES-TEXCOCO"
129,"PIRÁMIDES-TEXCOCO"
130,"PIRÁMIDES-TEXCOCO"
131,"PIRÁMIDES-TEXCOCO"
132,"PEÑON-TEXCOCO"
133,"PEÑON-TEXCOCO"
134,"Ent. Circuito exterior mexiquense"
135,"Tejocotal-tuxpan"
136,"LIBRAMIENTO TULANCINGO"
137,"Tulancingo-venta grande"
138,"Tejocotal-nuevo necaxa"
139,"avila camacho-venustiano carranza"
140,"venustiano carranza-tihuatlán"
141,"TIHUATLAN-TUXPAN"
142,"tihuatlan I-tihuatlan II"
143,"buenos aires-naranjos"
144,"buenos aires-ozuluama"
145,"Naranjos-ozuluama"
146,"los gil-buenos aires"
147,"TIHUATLAN-GUTIERREZ ZAMORA"
148,"TUXPAN-CARDEL"
149,"Nautla-gutierrez zamora"
150,"Nautla-tihuatlan"
151,"vega de alatorre-nautla"
152,"laguna verde-nautla"
153,"laguna verde-vega de alatorre"
154,"PUENTE NACIONAL TECOLUTLA"
155,"LIBRAMIENTO PONIENTE DE TAMPICO"
156,"boulevard loma real-altamira"
157,"ciudad valles-boulevard loma real"
158,"puente tampico"
159,"puente pánuco"
160,"Mexico-tepeji del rio"
161,"Jorobas-tepeji del rio"
162,"tepeji del rio-palmillas"
163,"tepeji del rio-palmillas"
164,"tepeji del rio-polotitlan"
165,"Queretaro-celaya"
166,"Celaya-cerro gordo"
167,"Queretaro-ent. Libramiento surponiente de queretaro"
168,"LIBRAMIENTO DE CELAYA"
169,"LIBRAMIENTO DE CELAYA"
170,"LIBRAMIENTO DE CELAYA"
171,"Celaya-ent. Villagran"
172,"QUERETARO-IRAPUATO"
173,"cerro gordo-irapuato"
174,"cerro gordo-salamanca"
175,"Celaya-irapuato"
176,"Celaya-salamanca"
177,"cerro gordo-ent la garrida"
178,"entronque itesi-san cristobal"
179,"san cristobal-entronque carretera 90"
180,"entronque itesi-arandas"
181,"Arandas-san cristobal"
182,"Salamanca-irapuato"
183,"Irapuato-leon"
184,"Irapuato-silao"
185,"Silao-leon"
186,"eje metropolitano-ent los rodrigiez"
187,"GUANAJUATO-SILAO"
188,"Leon-lagos de moreno"
189,"Leon-las joyas"
190,"Leon-san francisco del rincon"
191,"Leon-plande ayala"
192,"union de san antonio-lagos de moreno"
193,"Leon-ent central de abastos"
194,"Leon-ent aut salamanca"
195,"ent. Lagos de moreno-aguascalientes"
196,"encarnacion de diaz-aguascalentes"
197,"Ent. Montoro-Ent. La Escondida"
198,"Ent. Montoro-Ent. El Chichimeco"
199,"Ent. El Chichimeco-Ent. La Escondida"
200,"CD. CUAUHTEMOC-OSIRIS"
201,"ent. Arandas-el desperdicio"
202,"ent. Arandas-jalostotitlan"
203,"Jalostotitlan-el desperdicio"
204,"ent. Arandas-san miguel el alto"
205,"ent. San juan de los lagos-el desperdicio"
206,"ZAPOTLANEJO-LAGOS DE MORENO"
207,"ZAPOTLANEJO-LAGOS DE MORENO"
208,"ZAPOTLANEJO-LAGOS DE MORENO"
209,"Zapotlanejo-ent. Arandas"
210,"Guadalajara-acatic"
211,"ent. Acatic-zapotlanejo"
212,"Zapotlanejo-tepatitlan"
213,"ZAPOTLANEJO-LAGOS DE MORENO"
214,"ZAPOTLANEJO-LAGOS DE MORENO"
215,"Tapatitlan-ent. Arandas"
216,"lagos de moreno-villa de arriaga"
217,"VENTURA-EL PEYOTE"
218,"LIBRAMIENTO ARCO NORTE SAN LUIS POTOS"
219,"LIBRAMIENTO PONIENTE SAN LUIS POTOSI"
220,"Horizontes-guadalajara"
221,"Horizontes-zacatecas"
222,"LIBRAMIENTO ORIENTE SAN LUIS POTOSI"
223,"Rioverde-la pila"
224,"LIBRAMIENTO NORESTE QUERETARO"
225,"SAN LUIS POTOSÍ-RIOVERDE"
226,"SAN LUIS POTOSÍ-RIOVERDE"
227,"SAN LUIS POTOSÍ-RIOVERDE"
228,"SAN LUIS POTOSÍ-RIOVERDE"
229,"SAN LUIS POTOSÍ-RIOVERDE"
230,"SAN LUIS POTOSÍ-RIOVERDE"
231,"SAN LUIS POTOSÍ-RIOVERDE"
232,"SAN LUIS POTOSÍ-RIOVERDE"
233,"SAN LUIS POTOSÍ-RIOVERDE"
234,"SAN LUIS POTOSÍ-RIOVERDE"
235,"SAN LUIS POTOSÍ-RIOVERDE"
236,"SAN LUIS POTOSÍ-RIOVERDE"
237,"SAN LUIS POTOSÍ-RIOVERDE"
238,"libramiento cd. Valles-tamuin"
239,"ent. La calera-ent. San juan"
240,"ent. La pitahaya-ent. La calera"
241,"Mexico-santa fe"
242,"MÉXICO-LA MARQUESA"
243,"Mexico-contadero"
244,"Mexico-la venta"
245,"Contadero-la marquesa"
246,"la venta-la marquesa"
247,"LA MARQUESA-LERMA"
248,"TENANGO - IXTAPAN"
249,"TENANGO - IXTAPAN"
250,"TENANGO - IXTAPAN"
251,"TENANGO - IXTAPAN"
252,"LERMA-SANTIAGO"
253,"LERMA-SANTIAGO"
254,"LERMA-SANTIAGO"
255,"LERMA-SANTIAGO"
256,"Lerma-atlacomulco"
257,"Xonacatlan-atlacomulco"
258,"Lerma-xonacatlan"
259,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
260,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
261,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
262,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
263,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
264,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
265,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
266,"TOLUCA-ZITACUARO RAMAL A VALLE DE BRA"
267,"ZITACUARO-LENGUA DE VACA"
268,"TOLUCA-ATLACOMULCO"
269,"TOLUCA-ATLACOMULCO"
270,"Atlacomulco-venta de bravo"
271,"venta de bravo-maravatio"
272,"Maravatio-morelia"
273,"Zinapecuaro-morelia"
274,"Maravatio-zinapecuaro"
275,"Maravatio-jerahuaro"
276,"Morelia-copandaro"
277,"Morelia-churintzio"
278,"Morelia-panindicuaro"
279,"Morelia-huaniqueo"
280,"Panindicuaro-churintzio"
281,"Churintzio-la barca"
282,"MARAVATIO-ZAPOTLANEJO"
283,"vista hermosa-la barca"
284,"Churintzio-ecuandureo"
285,"MARAVATIO-ZAPOTLANEJO"
286,"MARAVATIO-ZAPOTLANEJO"
287,"MARAVATIO-ZAPOTLANEJO"
288,"MARAVATIO-ZAPOTLANEJO"
289,"la barca-zapotlanejo"
290,"MARAVATIO-ZAPOTLANEJO"
291,"MARAVATIO-ZAPOTLANEJO"
292,"Ocotlan-zapotlanejo"
293,"MARAVATIO-ZAPOTLANEJO"
294,"MARAVATIO-ZAPOTLANEJO"
295,"zapotlanejo del rey-zapotlanejo"
296,"la barca-ocotlan"
297,"MARAVATIO-ZAPOTLANEJO"
298,"ECUANDUREO-LA BARCA"
299,"PUENTE NACIONAL LA PIEDAD"
300,"laguna larga-patti II"
301,"Calera-patti II"
302,"laguna larga-calera"
303,"MORELIA-AEROPUERTO"
304,"MORELIA-AEROPUERTO"
305,"Morelia-copandaro (capula-patzcuaro)"
306,"Quiroga-patzcuaro (patzcuaro-copandro)"
307,"PATZCUARO-URUAPAN"
308,"Zirahuen-uruapan"
309,"Zurumucapio-uruapan"
310,"ent. Zirimicuaro-ent. Cajones"
311,"Taretan-ent. Cajones"
312,"ent. Zirimicuaro-taretan"
313,"ent. Cajones-ent. Cuatro caminos"
314,"ent. Santa casilda-ent. Cuatro caminos"
315,"ent. Cajones-ent. Santa casilda"
316,"ent. Nueva italia-ent. Las cañas"
317,"ent. Las cañas-lazaro cardenas"
318,"ent. Las cañas-ent. Feliciano"
319,"ent. Feliciano-lazaro cardenas"
320,"MÉXICO-CUERNAVACA"
321,"tres marias-cuernavaca"
322,"La Pera A - Tepoztlán A"
323,"Cuautla-la pera"
324,"La Pera A - Oaxtepec A"
325,"Cuautla B - Tepoztlán B"
326,"La Pera A - Oacalco A"
327,"Oaxtepec B - Tepoztlán B"
328,"Oacalco B - Tepoztlán B"
329,"Tepoztlán B - La Pera B"
330,"Tepoztlán A - Oacalco A"
331,"Oacalco A - Cuautla A"
332,"Oacalco A - Oaxtepec A"
333,"Oacalco B - La Pera B"
334,"la pera-cuautla"
335,"Oaxtepec B - La Pera B"
336,"Tepoztlán A - Cuautla A"
337,"Tepoztlán A - Oaxtepec A"
338,"Cuautla B - Oacalco B"
339,"Oaxtepec B - Oacalco B"
340,"Cuernavaca-central de abastos"
341,"Cuernavaca-aeropuerto"
342,"Cuernavaca-xochitepec"
343,"Cuernavaca-puente de ixtla"
344,"Cuernavaca-alpuyeca"
345,"puente de ixtla-chilpancingo"
346,"paso morelos-chilpancingo"
347,"puente de ixtla-paso morelos"
348,"Chilpancingo-tierra colorada"
349,"tierra colorada-acapulco"
350,"LIBRAMIENTO PONIENTE DE ACAPULCO"
351,"ZACAPALCO-RANCHO VIEJO"
352,"RANCHO VIEJO-TAXCO"
353,"PUENTE DE IXTLA-IGUALA"
354,"MAXITUNEL ACAPULCO"
355,"MACROTUNEL ACAPULCO"
356,"LIBRAMIENTO TECPAN"
357,"ZAPOTLANEJO-GUADALAJARA"
358,"ZAPOTLANEJO-GUADALAJARA"
359,"ZAPOTLANEJO-GUADALAJARA"
360,"ZAPOTLANEJO-GUADALAJARA"
361,"ZAPOTLANEJO-GUADALAJARA"
362,"ZAPOTLANEJO-GUADALAJARA"
363,"Guadalajara-zapotlanejo"
364,"ZAPOTLANEJO-GUADALAJARA"
365,"el vado-guadalajara"
366,"Cortijo-guadalajara"
367,"Periferico-guadalajara"
368,"arroyo de enmedio-guadalajara"
369,"Ent. Zapotlanejo-Guadalajara a Chapala (LA LAJA)"
370,"Aut México-Guadalajara a Zapotlanejo (Remota La Laja)"
371,"Chapala - Santa Cecilia"
372,"Santa Cecilia (TRAMO SANTA CECILIA-MAGDALENA) "
373,"LIBRAMIENTO SUR DE GUADALAJARA"
374,"LIBRAMIENTO SUR DE GUADALAJARA"
375,"Acatlan-atoyac"
376,"Atoyac-cd. Guzman"
377,"Sayula-cd. Guzman"
378,"cd. guzman-el trapiche"
379,"ARMERÍA-MANZANILLO"
380,"ent. Ameca-magdalena"
381,"Tequila-magdalena"
382,"ixtlan del rio-santa maria del oro"
383,"Jala-tepic"
384,"santa maria del oro-tepic"
385,"Jala-santa maría del oro"
386,"LIBRAMIENTO TEPIC"
387,"TEPIC-SAN BLAS"
388,"Tepic-mecatan"
389,"CHAPALILLA-COMPOSTELA"
390,"Jala-las varas"
391,"JALA-COMPOSTELA"
392,"JALA-COMPOSTELA"
393,"Compostela-las varas"
394,"TEPIC-MAZATLÁN"
395,"Tepic-ent. San blas"
396,"ent. San blas-estacion yago"
397,"Ent. san blas-rosamorada"
398,"estacion yago-ruiz"
399,"Rosamorada-escuinapa"
400,"Rosamorada-acaponeta"
401,"Escuinapa-villa union"
402,"Escuinapa-rosario"
403,"LIBRAMIENTO MAZATLÁN"
404,"Mazatlan-aeropuerto"
405,"Vainillo-aeropuerto"
406,"MAZATLÁN-CULIACAN"
407,"MAZATLÁN-CULIACAN"
408,"MAZATLÁN-CULIACAN"
409,"ent. La cruz-quila"
410,"Quila-costa rica"
411,"LIBRAMIENTO CULIACAN"
412,"PUENTE NACIONAL CULIACAN"
413,"PUENTE NACIONAL SINALOA"
414,"LIBRAMIENTO CIUDAD OBREGON"
415,"LIBRAMIENTO CIUDAD OBREGON"
416,"estacion don-navojoa"
417,"Navojoa-cd. Obregon"
418,"cd. obregon-guaymas"
419,"libramiento guaymas"
420,"Hermosillo-magdalena de kino"
421,"libramiento de magdalena de kino"
422,"LIBRAMIENTO HERMOSILLO"
423,"LIBRAMIENTO HERMOSILLO"
424,"LIBRAMIENTO HERMOSILLO"
425,"santa lucia-villa union"
426,"santa lucia-concordia"
427,"Concordia-villa union"
428,"Piloncillo-santa lucia"
429,"ent. Otinapa-piloncillo"
430,"libramiento de durango-ent. Otinapa"
431,"Durango-guadalupe victoria"
432,"guadalupe victoria-yerbanis"
433,"Yerbanis-pedriceña"
434,"Yerbanis-cuencame"
435,"Cuencame-pedriceña"
436,"Pedriceña-gomez palacio"
437,"Pedriceña-leon guzman"
438,"leon guzman-gomez palacio"
439,"LIBRAMIENTO NORTE DE LA LAGUNA"
440,"san pedro-matamoros"
441,"Vergel-san pedro"
442,"Matamoros-la cuchilla"
443,"loma bonita-puebla"
444,"gomez palacio-estacion banderas"
445,"estacion banderas-corralitos"
446,"Sacramento-aldama"
447,"Aldama-jimenez"
448,"Zacatecas-monclova"
449,"Zacatecas-torreon"
450,"Torreon-monclova"
451,"Monclova-ojo caliente 2"
452,"Monclova-ojo caliente 1"
453,"ojo caliente 1-ojo caliente 2"
454,"ojo caliente 2-morones prieto"
455,"ojo caliente 2-periferico"
456,"Periferico-morones prieto"
457,"el jonuco-periferico"
458,"el jonuco-morones prieto"
459,"LIBRAMIENTO ORIENTE DE SALTILLO"
460,"puerto mexico-ent. La carbonera"
461,"puerto mexico-huachichil"
462,"LIBRAMIENTO MATEHUALA"
463,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
464,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
465,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
466,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
467,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
468,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
469,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
470,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
471,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
472,"PERIFÉRICO DEL ÁREA METROPOLITANA DE Monterrey"
473,"MONTERREY-CADEREYTA"
474,"MONTERREY-CADEREYTA"
475,"MONTERREY-CADEREYTA"
476,"PUENTE CADEREYTA"
477,"AGUJITA-ALLENDE"
478,"PUENTE ACUÑA"
479,"Monterrey-la gloria"
480,"Monterrey-agua leguas"
481,"Monterrey-sabinas"
482,"Sabinas-la gloria"
483,"MONTERREY-NUEVO LAREDO (LA GLORIA-SAN"
484,"agua leguas-paras"
485,"agua leguas-sabinas"
486,"Cadereyta-la sierrita"
487,"general bravo-la sierrita"
